id	nim	bukti_pic	ttd
87	2001591464	2001591464-87.jpeg	2001591464-87- canvas.png
88	2001590700	2001590700-88.jpeg	2001590700-88- canvas.png
89	2001609101	2001609101-89.jpeg	2001609101-89- canvas.png
90	2001597871	2001597871-90.jpeg	2001597871-90- canvas.png
91	2001605053	2001605053-91.jpeg	2001605053-91- canvas.png
92	2001590852	2001590852-92.jpeg	2001590852-92- canvas.png
93	2001602480	2001602480-93.jpeg	2001602480-93- canvas.png
94	2001616750	2001616750-94.jpeg	2001616750-94- canvas.png
95	2001605835	2001605835-95.jpeg	2001605835-95- canvas.png
96	2001617886	2001617886-96.jpeg	2001617886-96- canvas.png
97	2001612506	2001612506-97.jpeg	2001612506-97- canvas.png
98	2001591363	2001591363-98.jpeg	2001591363-98- canvas.png
99	2001613010	2001613010-99.jpeg	2001613010-99- canvas.png
100	2001602474	2001602474-100.jpeg	2001602474-100- canvas.png
101	2001613326	2001613326-101.jpeg	2001613326-101- canvas.png
102	2001589112	2001589112-102.jpeg	2001589112-102- canvas.png
103	2001590801	2001590801-103.jpeg	2001590801-103- canvas.png
104	2001596452	2001596452-104.jpeg	2001596452-104- canvas.png
105	2001604214	2001604214-105.jpeg	2001604214-105- canvas.png
106	2001596036	2001596036-106.jpeg	2001596036-106- canvas.png
107	2001594415	2001594415-107.jpeg	2001594415-107- canvas.png
108	2001591432	2001591432-108.jpeg	2001591432-108- canvas.png
109	2001622356	2001622356-109.jpeg	2001622356-109- canvas.png
110	2001599492	2001599492-110.jpeg	2001599492-110- canvas.png
111	2001616460	2001616460-111.jpeg	2001616460-111- canvas.png
112	2001609505	2001609505-112.jpeg	2001609505-112- canvas.png
113	2001590051	2001590051-113.jpeg	2001590051-113- canvas.png
114	2001603994	2001603994-114.jpeg	2001603994-114- canvas.png
115	2001599984	2001599984-115.jpeg	2001599984-115- canvas.png
116	2001594592	2001594592-116.jpeg	2001594592-116- canvas.png
117	2001605671	2001605671-117.jpeg	2001605671-117- canvas.png
118	2001587813	2001587813-118.jpeg	2001587813-118- canvas.png
119	2001600336	2001600336-119.jpeg	2001600336-119- canvas.png
120	2001603350	2001603350-120.jpeg	2001603350-120- canvas.png
121	2001614032	2001614032-121.jpeg	2001614032-121- canvas.png
122	2001591754	2001591754-122.jpeg	2001591754-122- canvas.png
123	2001618251	2001618251-123.jpeg	2001618251-123- canvas.png
130	2001614461	2001614461-130.jpeg	2001614461-130- canvas.png
131	2001622936	2001622936-131.jpeg	2001622936-131- canvas.png
132	2101801736	2001622936-132.jpeg	2001622936-132- canvas.png
133	2201834501	2201834501-133.jpeg	2201834501-133- canvas.png
135	2001594932	2001594932-135.jpeg	2001594932-135- canvas.png
136	2201846874	2201846874-136.jpeg	2201846874-136- canvas.png
137	2001623466	2001623466-137.jpeg	2001623466-137- canvas.png
138	2201826374	2201826374-138.jpeg	2201826374-138- canvas.png
140	2001614045	2001614045-140.jpeg	2001614045-140- canvas.png
141	2001603760	2001603760-141.jpeg	2001603760-141- canvas.png
142	2101780776	2101780776-142.jpeg	2101780776-142- canvas.png
143	2001614064	2001614064-143.jpeg	2001614064-143- canvas.png
144	2101761316	2101761316-144.jpeg	2101761316-144- canvas.png
145	2201834464	2201834464-145.jpeg	2201834464-145- canvas.png
146	2101783241	2101783241-146.jpeg	2101783241-146- canvas.png
147	2201846786	2201846786-147.jpeg	2201846786-147- canvas.png
148	2001602556	2001602556-148.jpeg	2001602556-148- canvas.png
149	2001598123	2001598123-149.jpeg	2001598123-149- canvas.png
150	2201833013	2201833013-150.jpeg	2201833013-150- canvas.png
151	2201847315	2201847315-151.jpeg	2201847315-151- canvas.png
152	2001620855	2001620855-152.jpeg	2001620855-152- canvas.png
153	2001611964	2001611964-153.jpeg	2001611964-153- canvas.png
154	2001623024	2001623024-154.jpeg	2001623024-154- canvas.png
156	2201849320	2201849320-156.jpeg	2201849320-156- canvas.png
157	2001594352	2001594352-157.jpeg	2001594352-157- canvas.png
158	2201849440	2201849440-158.jpeg	2201849440-158- canvas.png
159	2101786400	2101786400-159.jpeg	2101786400-159- canvas.png
160	2101761221	2101761221-160.jpeg	2101761221-160- canvas.png
161	2001593362	2001593362-161.jpeg	2001593362-161- canvas.png
162	2201838696	2201838696-162.jpeg	2201838696-162- canvas.png
163	2001622526	2001622526-163.jpeg	2001622526-163- canvas.png
164	2101781040	2101781040-164.jpeg	2101781040-164- canvas.png
165	2101786911	2101786911-165.jpeg	2101786911-165- canvas.png
166	2001607626	2001607626-166.jpeg	2001607626-166- canvas.png
167	2101714566	2101714566-167.jpeg	2101714566-167- canvas.png
168	2201833303	2201833303-168.jpeg	2201833303-168- canvas.png
169	2201847353	2201847353-169.jpeg	2201847353-169- canvas.png
170	2001679726	2001679726-170.jpeg	2001679726-170- canvas.png
171	1901587131	1901587131-171.jpeg	1901587131-171- canvas.png
172	2201846880	2201846880-172.jpeg	2201846880-172- canvas.png
173	2001615546	2001615546-173.jpeg	2001615546-173- canvas.png
174	2201846836	2201846836-174.jpeg	2201846836-174- canvas.png
175	2001623636	2001623636-175.jpeg	2001623636-175- canvas.png
176	2101761291	2101761291-176.jpeg	2101761291-176- canvas.png
177	2101807821	2101807821-177.jpeg	2101807821-177- canvas.png
178	2101786205	2101786205-178.jpeg	2101786205-178- canvas.png
179	2101786880	2101786880-179.jpeg	2101786880-179- canvas.png
180	2001622892	2001622892-180.jpeg	2001622892-180- canvas.png
181	2001593223	2001593223-181.jpeg	2001593223-181- canvas.png
183	2201839616	2201839616-183.jpeg	2201839616-183- canvas.png
184	2201849232	2201849232-184.jpeg	2201849232-184- canvas.png
185	BN123816512	BN123816512-185.jpeg	BN123816512-185- canvas.png
186	2001605356	2001605356-186.jpeg	2001605356-186- canvas.png
187	2001605356	2001605356-187.jpeg	2001605356-187- canvas.png
188	2101761215	2101761215-188.jpeg	2101761215-188- canvas.png
189	2101783310	2101783310-189.jpeg	2101783310-189- canvas.png
190	2001608061	2001608061-190.jpeg	2001608061-190- canvas.png
191	2001610135	2001610135-191.jpeg	2001610135-191- canvas.png
193	2001605141	2001605141-193.jpeg	2001605141-193- canvas.png
194	2001598464	2001598464-194.jpeg	2001598464-194- canvas.png
196	BN123816512	BN123816512-196.jpeg	BN123816512-196- canvas.png
197	2001588500	2001588500-197.jpeg	2001588500-197- canvas.png
198	2001598672	2001598672-198.jpeg	2001598672-198- canvas.png
199	2001613780	2001613780-199.jpeg	2001613780-199- canvas.png
200	2001602493	2001602493-200.jpeg	2001602493-200- canvas.png
201	2001605450	2001605450-201.jpeg	2001605450-201- canvas.png
202	2001594131	2001594131-202.jpeg	2001594131-202- canvas.png
203	2001615092	2001615092-203.jpeg	2001615092-203- canvas.png
204	2001605381	2001605381-204.jpeg	2001605381-204- canvas.png
205	2001591760	2001591760-205.jpeg	2001591760-205- canvas.png
206	2001595525	2001595525-206.jpeg	2001595525-206- canvas.png
207	2001606283	2001606283-207.jpeg	2001606283-207- canvas.png
208	2001614291	2001614291-208.jpeg	2001614291-208- canvas.png
209	2001610210	2001610210-209.jpeg	2001610210-209- canvas.png
210	2001622362	2001622362-210.jpeg	2001622362-210- canvas.png
211	2001616416	2001616416-211.jpeg	2001616416-211- canvas.png
212	2001613515	2001613515-212.jpeg	2001613515-212- canvas.png
213	2001618056	2001618056-213.jpeg	2001618056-213- canvas.png
214	2001602530	2001602530-214.jpeg	2001602530-214- canvas.png
215	2001608603	2001608603-215.jpeg	2001608603-215- canvas.png
216	2001590026	2001590026-216.jpeg	2001590026-216- canvas.png
217	2001590032	2001590032-217.jpeg	2001590032-217- canvas.png
218	2001596824	2001596824-218.jpeg	2001596824-218- canvas.png
219	2001588293	2001588293-219.jpeg	2001588293-219- canvas.png
220	2001602505	2001602505-220.jpeg	2001602505-220- canvas.png
221	2001588280	2001588280-221.jpeg	2001588280-221- canvas.png
222	2001588444	2001588444-222.jpeg	2001588444-222- canvas.png
223	2001620041	2001620041-223.jpeg	2001620041-223- canvas.png
224	2001604681	2001604681-224.jpeg	2001604681-224- canvas.png
225	2001593356	2001593356-225.jpeg	2001593356-225- canvas.png
226	2001588551	2001588551-226.jpeg	2001588551-226- canvas.png
227	2101725960	2101725960-227.jpeg	2101725960-227- canvas.png
228	2001591924	2001591924-228.jpeg	2001591924-228- canvas.png
229	2001597991	2001597991-229.jpeg	2001597991-229- canvas.png
230	2001601276	2001601276-230.jpeg	2001601276-230- canvas.png
231	2001594781	2001594781-231.jpeg	2001594781-231- canvas.png
232	2001600960	2001600960-232.jpeg	2001600960-232- canvas.png
233	2001588425	2001588425-233.jpeg	2001588425-233- canvas.png
234	2001610362	2001610362-234.jpeg	2001610362-234- canvas.png
235	2001588431	2001588431-235.jpeg	2001588431-235- canvas.png
236	2001592851	2001592851-236.jpeg	2001592851-236- canvas.png
237	2101779143	2101779143-237.jpeg	2101779143-237- canvas.png
238	2001616183	2001616183-238.jpeg	2001616183-238- canvas.png
239	2001589573	2001589573-239.jpeg	2001589573-239- canvas.png
240	2001616183	2001616183-240.jpeg	2001616183-240- canvas.png
241	2001604031	2001604031-241.jpeg	2001604031-241- canvas.png
242	2001602493	2001602493-242.jpeg	2001602493-242- canvas.png
243	2001605356	2001605356-243.jpeg	2001605356-243- canvas.png
244	2001610255	2001610255-244.jpeg	2001610255-244- canvas.png
245	2101761146	2101761146-245.jpeg	2101761146-245- canvas.png
246	2101761146		\N
247	2201832692	2201832692-247.jpeg	\N
